QsWorldRanking,School,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,Term,LiveDate,DeadlineDate,Fees,AverageScholarshipAmount,CostPerCredit,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,Program duration,Tuition fee,Program name,Program Page url
,,,,,,,,,,,,,,,,,Nuclear and Radiological Engineering (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
,,,,,,,,,,,,,,,,,Performance Studies (Minor),https://registrar.gatech.edu/public/files/catalog-2013-14.pdf
,,,,,,,,,,,,,,,,,Philosophy (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
,School of Physics,,4.0,2,,Fall 2026,August 2025,"November 2025 (Early Action), January 2026 (Regular Decision)",,,,,,"Merit-based, Need-based",120 credit hours,,Bachelor of Science in Physics,https://www.gatech.edu/academics/bachelors-degree-programs
114,"School of Physics, College of Sciences",,4.0,2,13.8%,Fall 2026,"August 1, 2025","January 5, 2026",,,,"A $5,000 scholarship is available for incoming first-year students who have been actively involved in a participating FIRST team. The G. Wayne Clough Georgia Tech Promise Program provides a debt-free degree for qualifying students from low-income Georgia families.",,"Merit-based, Need-based",15 credit hours,,Physics (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
,,,,,,,,,,,,,,,,,Physiology (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
,"Ivan Allen College of Liberal Arts, School of Public Policy",,4.0,,,Fall 2026,,,,,,,,,18 credit hours,,Political Science (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
,"School of Public Policy, Ivan Allen College of Liberal Arts",,4.0,2.0,,Fall 2026,"August 1, 2025","January 5, 2026",,,,,,"Merit-based, Need-based",18 credit hours,,Politics and Policy (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
,,,,,,,,,,,,,,,,,Pre-Law (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
,,,,,,,,,,,,,,,,,Bachelor of Science in Psychology,https://www.gatech.edu/academics/bachelors-degree-programs
,,,,,,,,,,,,,,,,,Psychology (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
,"Ivan Allen College of Liberal Arts, Jimmy and Rosalynn Carter School of Public Policy",,,2.0,,Fall 2026,,,,,,,,"Merit-based scholarships are available for incoming first-year students within the Ivan Allen College of Liberal Arts, with no separate application required. [4]",4 years for the Bachelor of Science degree. [22] A five-year combined BS/MS option is also available. [22],,Bachelor of Science in Public Policy,https://www.gatech.edu/academics/bachelors-degree-programs
114,"School of Public Policy, Ivan Allen College of Liberal Arts",,4.0,2.25,16%,Fall 2026,August 1,"The Regular Decision deadline for first-year applicants is January 5, 2026. [27]",,,,"Scholarship awards can range from $500 to full tuition coverage, depending on the specific scholarship. For example, the President's Scholarship Program can provide between $5,400 and $72,000 annually. [26, 19, 23]",,"Merit-based, Need-based",15 credit hours,,Public Policy (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
,"The Robotics Minor is an interdisciplinary program offered by the College of Engineering and the College of Computing, specifically through the Schools of Aerospace Engineering, Biomedical Engineering, Electrical and Computer Engineering, Interactive Computing, and Mechanical Engineering. [1, 3]",,4.0,2,,Fall 2026,August 2025,"For Fall 2026 entry, the Early Action I deadline is typically November 1, 2025, Early Action II is December 1, 2025, and the Regular Decision deadline is January 1, 2026. [15]",,,,,,"Georgia Tech offers various types of scholarships, including merit-based and need-based aid. Some scholarships are awarded automatically upon admission, while others require separate applications. [13]",The Robotics Minor requires the completion of 15 credit hours. This minor is pursued concurrently with a student's primary bachelor's degree program.,,Robotics (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
,School of Modern Languages,,4.0,2.0,,Fall 2026,,,,,,,,"['Merit-based scholarships', 'Need-based grants', 'Work-study', 'Loans']",15 credit hours,,Russian (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
,"The Science Communication and Policy minor is a joint offering of the School of Literature, Media, and Communication (LMC) and the Jimmy and Rosalynn Carter School of Public Policy. [26, 29]",,4.0,,,Fall 2026,,,,,,,,,,,Science Communication and Policy (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
,"School of Literature, Media, and Communication",,4.0,2.0,"For the Fall 2025 first-year class, the acceptance rate for Georgia residents was 30% and 9% for nonresidents. [21]",Fall 2026,Applications for first-year admission generally open on August 1 of a student's senior year.,"Specific deadlines for Fall 2026 have not been published. Typically, Early Action deadlines are in the fall, and the Regular Decision deadline is in January for first-year admission.",,,,"Scholarship amounts vary. Examples from the university include the Georgia Tech Val-Sal Scholarship which ranges from $2,500 to $5,000 annually, and various departmental scholarships that can range from $500 to $6,000 per year. [12, 17] The Stamps President's Scholarship is a full-ride scholarship. [10]",,"Georgia Tech offers need-based aid and merit-based scholarships. [3, 10]","The minor requires the completion of 15 credit hours. [11, 13]",,Science Fiction Studies (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
,School of History and Sociology,,4.0,2.0,,Fall 2026,,,,,,,,"Merit-based, Need-based",15 hours,,"Science, Technology, and Society (Minor)",https://www.gatech.edu/academics/bachelors-degree-programs
114,"Ivan Allen College of Liberal Arts (interdisciplinary minor between the School of History and Sociology and the School of Literature, Media, and Communication)",,4.0,2,16%,Fall 2026,"August 1, 2025","January 5, 2026",,,,"The Georgia Tech Val-Sal Scholarship offers between $2,500 and $5,000 for eligible Georgia residents. [30]",,"Merit-based, need-based, and major of study are the primary criteria. [10]",15 credit hours. [33],"A minor does not have a separate tuition fee. It is covered by general undergraduate tuition. For the 2024-2025 academic year, in-state tuition and fees were $12,852 and out-of-state tuition and fees were $33,964. [39]",Social Justice (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
114,Ivan Allen College of Liberal Arts,,,,12.7%,Fall 2026,August 1 of your senior year,"January 5, 2026",,,,"The Georgia Tech Val-Sal Scholarship offers between $2,500 and $5,000 annually to eligible Georgia residents. [26] MSE general scholarship awards range from $500/year to $3000/year. [30] MSE multi-year scholarship awards are $3000/year to $6000/year. [30] The MSE Research Scholarship award is $7000. [30]",,Merit-based,,"$12,852 per year for in-state students and $33,964 per year for out-of-state students for the 2020-2021 academic year. [6]",Sociology (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
,School of Modern Languages,,4.0,,,Fall 2026,,,,,,,,,15 credit hours,,Spanish (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
,,,4.0,,,Fall 2026,,,,,,,,"Merit-based, Need-based, Athletic, Community service, Employer, Military, STEM, Major-specific",,,Sports Studies (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
null,,,4.0,2,,Fall 2026,,,,,,,,"Merit-based, Need-based, Athletic, Community service, Employer, Academic, Scholarships for ethnic minorities, First generation scholarships, Military, Student identity-based, Scholarships by major, Hobby, interest & extracurricular",,,Statistics (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
114,"School of City and Regional Planning. [11, 15]",,4.0,2,,Fall 2026,"August 1, 2025","The application deadline for Fall 2026 is January 5, 2026 (Regular Decision).","For the 2024-25 academic year, the estimated undergraduate tuition and fees for in-state students was $12,852 and for out-of-state students was $33,964. [16] Undergraduate tuition is charged as a flat fee for a course load of six hours or more. [3]","The typical first-year financial aid package is $12,031. [4] 73% of undergraduates receive grant aid, with an average of $12,031 per person. [4]",Undergraduate tuition at Georgia Tech is charged as a flat fee for a course load of six hours or more. [3],,73% of first-year students receive financial aid. [4],"Merit-based, need-based, and institutional scholarships. [4]",The minor in Sustainable Cities consists of five courses and fifteen credit hours. [11],,Sustainable Cities (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
,Scheller College of Business,,4.0,3.0,30%,Fall 2026,2025-10-01,2025-10-31,,,,,,"Merit-based, Need-based",22 credit hours,,Technology and Business (Minor),https://www.gatech.edu/academics/bachelors-degree-programs
,Ivan Allen College of Liberal Arts,,4.0,2,,Fall 2026,,,,,,,,,15 credit hours,,"Women, Science, and Technology (Minor)",https://www.gatech.edu/academics/bachelors-degree-programs
