Id,ProgramName,ProgramCode,Status,CreatedDate,UpdatedDate,Level,Term,TermCode,LiveDate,DeadlineDate,Resume,StatementOfPurpose,GreOrGmat,EnglishScore,Requirements,WritingSample,CollegeId,IsAnalyticalNotRequired,IsAnalyticalOptional,IsDuoLingoRequired,IsELSRequired,IsGMATOrGreRequired,IsGMATRequired,IsGreRequired,IsIELTSRequired,IsLSATRequired,IsMATRequired,IsMCATRequired,IsPTERequired,IsTOEFLIBRequired,IsTOEFLPBTRequired,IsEnglishNotRequired,IsEnglishOptional,AcademicYear,AlternateProgram,ApplicationType,Department,Fees,Fees.1,IsAvailable,ProgramType,AdmissionDepartmentId,CreatedBy,UpdatedBy,Concentration,Description,OtherConcentrations,ProgramWebsiteURL,Accredidation,AverageScholarshipAmount,CostPerCredit,IsRecommendationSystemOpted,IsStemProgram,MaxFails,MaxGPA,MinGPA,PreviousYearAcceptanceRates,QsWorldRanking,TotalAccepetedApplications,TotalCredits,TotalDeniedApplications,TotalI20sIssued,TotalScholarshipsAwarded,TotalSubmittedApplications,TotalVisasSecured,UsNewsRanking,CollegeApplicationFee,IsCollegePaying,MEContractNegotiatedFee,MyGradAppFee,ProgramCategory,IsCollegeApplicationFree,IsCouponAllowed,IsACTRequired,IsSATRequired,SftpDestinationId,MinimumACTScore,MinimumDuoLingoScore,MinimumELSScore,MinimumGMATScore,MinimumGreScore,MinimumIELTSScore,MinimumMATScore,MinimumMCATScore,MinimumPTEScore,MinimumSATScore,MinimumTOEFLScore,MLModelName,MinimumAnalyticalScore,MinimumEnglishScore,MinimumExperience,MinimumSopRating,WeightAnalytical,WeightEnglish,WeightExperience,WeightGPA,WeightSop,ScholarshipAmount,ScholarshipPercentage,ScholarshipType,IsNewlyLaunched,BatchId,IsImported,IsImportVerified,Is_Recommendation_Sponser,AnalyticalScore,MinimumLSATScore,IsGRERequired,Description.1
,Master of Computer Science,,,,,Graduate,Fall 2026,,,,,,,REQUIRED,,,,False,False,False,False,False,False,,True,False,False,False,False,True,True,False,False,,,,,,,,,,,,,,,https://grad.tamu.edu/academics/program-directory?initDegree=MS,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.0,,,,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,
,Master of Science in Computer Science,,,,,Graduate,Fall 2026,,,,,,,REQUIRED,,,,False,False,False,False,False,False,,True,False,False,False,False,True,True,False,False,,,,,,,,,,,,"['Computer Graphics', 'Computing Systems', 'High-Performance Computing', 'Human-Computer Interaction', 'Interactive Intelligence', 'Machine Learning', 'Modeling and Simulations', 'Scientific Computing', 'Social Computing', 'Visual Analytics']","The Master of Science in Computer Science (M.S. CS) program is a terminal degree program designed to prepare students for more highly productive careers in industry. Graduates receive the MSCS for completing one of three options in the program as described in the program of study. The program is designed for students who possess a bachelor's degree in computer science from an accredited institution. Students with a bachelor's degree in other than computer science are encouraged to apply as well, with the understanding that they may be required to complete remedial course work in addition to the requirements of the M.S. CS degree.",,https://grad.tamu.edu/academics/program-directory?initDegree=MS,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.0,,,,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,
,Doctor of Philosophy in Computer Science,,,,,Doctoral,Fall 2026,,,,Required,Required,Not Required,REQUIRED,"All graduate engineering applications will be submitted using EngineeringCAS, a centralized application service. To apply, you will be required to submit the following: EngineeringCAS online application, a 1-1½ page statement of purpose (Personal Statement), unofficial transcripts from each institution you have attended, and three letters of recommendation. Application fees, deadlines, required documentation, test scores and other requirements are explained in the materials associated with the application. [13, 3]",,,False,True,False,False,False,False,,True,False,False,False,False,True,True,False,False,,,,,,,,,,,,,Work leading to the degree of Doctor of Philosophy (PhD) in Computer Science is designed to give candidates a thorough and comprehensive knowledge of their professional field and training in methods of research. [8],,https://grad.tamu.edu/academics/program-directory?initDegree=MS,"Texas A&M University is accredited by the Southern Association of Colleges and Schools Commission on Colleges (SACSCOC) to award bachelor's, master's and doctoral degrees. [12] The undergraduate program in Computer Science is accredited by the Computing Accreditation Commission of ABET. [12] No specific accreditation information is mentioned for the Doctor of Philosophy in Computer Science program on the page.",,,FALSE,True,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.0,,,,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,
,Master of Engineering in Electrical Engineering,,,,,Graduate,Fall 2026,,,,,,,REQUIRED,"A student holding a Bachelor of Science degree in engineering or a qualified senior during the last semester may apply for admission to graduate studies to work toward the non-thesis degree of Master of Engineering (MEng), majoring in their particular field of engineering. [6] The work in the major field will include one or two written reports (not necessarily involving results of research conducted by the candidate). [6] All degree requirements must be completed within a period of seven consecutive years for the degree to be granted. [6]",Not Required,,True,False,False,False,False,False,,True,False,False,False,True,True,,False,False,,,,,,,,,,,,,,,https://grad.tamu.edu/academics/program-directory?initDegree=MS,,,,FALSE,True,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.0,,,53.0,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,
,Master of Science in Electrical Engineering,,,,,Graduate,Fall 2026,,,,Required,Required,Optional,REQUIRED,"All graduate engineering applications are submitted through the EngineeringCAS application service. Required documents include the online application, a 1-1½ page statement of purpose explaining your interest in the program and career goals, three letters of recommendation, and unofficial transcripts from each institution attended. Applicants must possess a baccalaureate degree. The GRE is optional for all applicants. International applicants may need to provide proof of English proficiency.",Not Required,,False,True,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,College of Engineering,,,,,,,,,,,https://grad.tamu.edu/academics/program-directory?initDegree=MS,,,,FALSE,True,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.0,,,,,80,,,,,,,,,,,,,Fellowship,FALSE,,,FALSE,FALSE,,,,
,Doctor of Philosophy in Electrical Engineering,,,,,Doctoral,Fall 2026,,,,,Required,Optional,REQUIRED,"All graduate engineering applications are to be submitted through the EngineeringCAS centralized application service. The application requires a non-refundable application fee of $65 for domestic students and $90 for international students, in addition to a $58 EngineeringCAS processing fee. Applicants must submit a 1-1.5 page personal statement outlining their interest in the graduate program and how it will help them achieve their career goals. Unofficial transcripts from all previously attended institutions must be submitted. Three letters of recommendation are also required. For international applicants, proof of English proficiency is necessary through TOEFL or IELTS test scores.",,,True,True,False,False,False,False,,True,False,False,False,False,True,True,False,False,,,,,,,,,,,,"['Analog and Mixed Signal', 'Biomedical Imaging, Sensing and Genomic Signal Processing', 'Device Science and Nanotechnology', 'Energy and Power', 'Electromagnetics and Microwaves', 'Information Science and Systems', 'Computer Engineering Systems']","Work leading to the degree of Doctor of Philosophy (PhD) is designed to give the candidate a thorough and comprehensive knowledge of his or her professional field and training in methods of research. The final basis for granting the degree shall be the candidate's grasp of the subject matter of a broad field of study and a demonstrated ability to do independent research. In addition, the candidate must have acquired the ability to express thoughts clearly and forcefully in both oral and written languages. The degree is not granted solely for the completion of coursework, residence and technical requirements, although these must be met.",,https://grad.tamu.edu/academics/program-directory?initDegree=MS,"Texas A&M University is accredited by the Southern Association of Colleges and Schools Commission on Colleges (SACSCOC) to award bachelor's, master's and doctoral degrees. [14] The undergraduate programs in Chemical, Electrical, Mechanical and Petroleum are accredited by the Engineering Accreditation Commission of ABET. [14]",,,FALSE,True,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.0,,,,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,
,Master of Engineering in Engineering Systems Management,,,,,Graduate,Fall 2026,,,,,,GRE,REQUIRED,"While Texas A&M University's Graduate and Professional School provides a central application portal, the specific requirements for application materials such as a resume/CV, statement of purpose, writing samples, and letters of recommendation are determined by each individual graduate program. Applicants are advised to consult the website of their specific program of interest for a detailed list of required documents.",,,False,False,False,False,True,False,,True,False,False,False,False,True,False,False,False,,,,,,,,,,,,,,,https://grad.tamu.edu/academics/program-directory?initDegree=MS,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.0,,,,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,
,Master of Science in Engineering Systems Management,,,,,Graduate,Fall 2026,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://grad.tamu.edu/academics/program-directory?initDegree=MS,,,,FALSE,True,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,
,Master of Science in Health Physics,,,,,Graduate,Fall 2026,,,,Required,Required,,,"The Master of Science (MS) in Nuclear Engineering program is a research-oriented degree that provides students with a solid foundation in nuclear engineering and the necessary skills to perform high-level research and development. The program requires 30 credit hours of graduate-level coursework, including a thesis that demonstrates the student's ability to conduct independent research.",Not Required,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Master of Science in Health Physics educates students at a professional level in the field of radiation safety or health physics. Health physics is the discipline responsible for the protection of humans and their environment from the harmful effects of ionizing radiation while providing for its beneficial uses. The field is diverse and can involve areas such as radiation safety programs, nuclear engineering, medical physics, accelerator physics, ecology, public health, and radioactive waste management. The curriculum is based strongly on the fundamental aspects of radiation effects on matter, internal and external dosimetry, and environmental aspects of nuclear power. A student is required to spend the initial academic year taking formal coursework, followed by a summer of on-the-job training or funded research projects suitable for the Master of Science thesis. An additional semester is typically needed to complete the coursework and a research project. [3]",,https://grad.tamu.edu/academics/program-directory?initDegree=MS,,,,FALSE,True,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,
,Master of Engineering in Industrial Engineering,,,,,Graduate,Fall 2026,,,,,,Not Required,REQUIRED,,Not Required,,False,False,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,,,,,,,,,,"Texas A&M University's Master of Engineering in industrial engineering is a non-thesis degree. The degree program is structured and oriented for working professionals. [2] Students pursuing this degree usually focus on entering industry after graduation. This degree is designed for students who do not have any specific areas of interest or who are seeking a degree that is all encompassing rather than a specialization. With this degree you will learn from each of the following areas of specialization: data science, human and human systems engineering, manufacturing and operations research. [2]",,https://grad.tamu.edu/academics/program-directory?initDegree=MS,,,,FALSE,True,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.0,,,,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,
,Master of Science in Industrial Engineering,,,,,Graduate,Fall 2026,,,,,,,REQUIRED,,,,True,True,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,,,,,,,,,,,,https://grad.tamu.edu/academics/program-directory?initDegree=MS,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.0,,,,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,
,Doctor of Philosophy in Industrial Engineering,,,,,Doctoral,Fall 2026,,,,,,Not Required,REQUIRED,,,,True,True,False,False,False,False,,True,False,False,False,False,True,True,False,False,,,,,,,,,,,,"['Advanced Manufacturing', 'Data Science', 'Health and Human Systems Engineering', 'Operations Research']","The Texas A&M University Department of Industrial and Systems Engineering offers a Doctor of Philosophy (Ph.D.) in industrial engineering. It is a research-oriented degree for individuals interested in a career in academia, consulting or research with an organization requiring advanced training. [3] With the advice and approval of the advisory committee, the student develops a degree plan that matches their professional interests. [3] The traditional doctorate plan for the student who already has a master's degree must contain at least 64 credit hours, including credit for dissertation research hours. We also offer a Ph.D. for direct-entry study, allowing a student with only a bachelor's degree to apply, effectively bypassing the master's degree. If a student holds only a bachelor's, a total of at least 96 hours is required. [3]",,https://grad.tamu.edu/academics/program-directory?initDegree=MS,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.0,,,,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,
,Master of Industrial Distribution,,,,,Graduate,Fall 2026,,,,,,Not Required,REQUIRED,,,,True,True,False,False,False,False,,True,False,False,False,False,True,True,False,False,,,,,,,,,,,,,,,https://grad.tamu.edu/academics/program-directory?initDegree=MS,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.0,,,,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,
,Master of Science in Interdisciplinary Engineering,,,,,Graduate,Fall 2026,,,,,,Not Required,REQUIRED,,,,True,True,False,False,False,False,,True,False,False,False,False,True,True,False,False,,,,,,,,,,,,,The Master of Science (MS) degree in Interdisciplinary Engineering (ITDE) accommodates accomplished engineering students whose research interests cross engineering disciplines and/or colleges. The program also allows students to develop unique expertise in emerging areas that may not be covered by traditional departmental degree programs. The ITDE program is administratively housed in the Department of Multidisciplinary Engineering.,,https://grad.tamu.edu/academics/program-directory?initDegree=MS,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.0,,,,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,
,Doctor of Philosophy in Interdisciplinary Engineering,,,,,Doctoral,Fall 2026,,,,,,Not Required,REQUIRED,,,,True,True,False,False,False,False,,True,False,False,False,False,True,False,False,False,,,,,,,,,,,,,"The Doctor of Philosophy (PhD) in Interdisciplinary Engineering (ITDE) program allows students to develop unique expertise in emerging areas that may not be covered by traditional departmental degree programs and provides a path for those whose research interests cross engineering disciplines and/or college lines. [5, 7] Graduates with interdisciplinary engineering skill sets are highly sought after by employers, and the PhD in ITDE poises graduates to become leaders in academic organizations, government and industry. [5, 7] Examples of previously awarded interdisciplinary topics include environmental engineering and public policy as well as engineering and education. [5, 7] The ITDE program is administratively housed in the College of Engineering (CLEN) under the leadership of the director of interdisciplinary engineering. [7] Doctoral candidates in ITDE are expected to excel academically with high-quality journal publications before defending their dissertations. [7] These candidates are further expected to establish strong relationships with industry, through internships and related activities. [7] This program is also approved for delivery via asynchronous or synchronous distance education technology. [7]",,https://grad.tamu.edu/academics/program-directory?initDegree=MS,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.0,,,,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,
,Master of Engineering in Materials Science and Engineering,,,,,Graduate,Fall 2026,,,,,,Optional,REQUIRED,,,,True,True,False,False,False,False,,True,,,,False,True,True,False,False,,,,,,,,,,,,,"The Master of Engineering (MEng) is a non-thesis degree that provides students advanced specialized training intended to prepare them to transition to technical positions in industry or doctoral graduate programs in science or engineering. Students deepen their understanding by completing advanced coursework in foundational MSEN topics, such as thermodynamics, kinetics, solid-state physics, and mechanical behavior of materials. [3]",,https://grad.tamu.edu/academics/program-directory?initDegree=MS,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,146 (Verbal),6.0,,,,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,
,Master of Science in Materials Science and Engineering,,,,,Graduate,Fall 2026,,,,,,Not Required,REQUIRED,,,,True,True,False,False,False,False,,True,False,False,False,False,True,True,False,False,,,,,,,,,,,,,,,https://grad.tamu.edu/academics/program-directory?initDegree=MS,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.0,,,,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,
,Doctor of Philosophy in Materials Science and Engineering,,,,,Doctoral,Fall 2026,,,,,,Not Required,REQUIRED,,,,True,True,False,False,False,False,,True,False,False,False,False,True,True,False,False,,,,College of Engineering,,,,,,,,,"The Ph.D. in Materials Science and Engineering prepares you to lead discovery and innovation—whether your future is in industry, government, or academia. This program emphasizes the creation of new knowledge through extensive independent research, from formulating hypotheses to interpreting results and developing principles that drive real-world solutions. A vital part of your doctoral journey is communicating your findings—presenting, defending, and sharing knowledge that advances the field. Because MSEN is a multidisciplinary program, you’ll find a range of specialized expertise areas and you will be able to select a research area that aligns with your professional interests. This multidisciplinary program accepts students from several disciplines, including aerospace engineering, biology, biomedical engineering, chemical engineering, chemistry, electrical engineering, mechanical engineering, nuclear engineering and physics. At Texas A&M, your doctoral studies are more than research—they are an opportunity to create materials with meaning and become a force for good in the world.",,https://grad.tamu.edu/academics/program-directory?initDegree=MS,,,,FALSE,False,,4.0,,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.0,,,,,80,,,,,,,,,,,,,Graduate Research Assistantships (GAR),FALSE,,,FALSE,FALSE,,,,
,Master of Engineering in Mechanical Engineering,,,,,Graduate,Fall 2026,,,,,,Optional,REQUIRED,,,,True,True,False,False,False,False,,True,False,False,False,True,True,,False,False,,,,College of Engineering,,,,,,,,,The Master of Engineering (M.Eng.) in mechanical engineering is a 30-credit hour non-thesis graduate degree. [5] This program provides advanced classroom instruction of greater depth than available in a Bachelor of Science degree. [5] Master of Engineering students may choose to specialize in a technical area of interest or take courses across several technical areas. [5],,https://grad.tamu.edu/academics/program-directory?initDegree=MS,,,,FALSE,False,,4.0,3,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.0,,,53.0,,80,,,,,,,,,,,,,"scholarships, assistantships",FALSE,,,FALSE,FALSE,,,,
,Master of Science in Mechanical Engineering,,,,,Graduate,Fall 2026,,,,,,Optional,REQUIRED,,,,True,True,False,False,False,False,,True,False,False,False,False,True,True,False,False,,,,College of Engineering,,,,,,,,,,,https://grad.tamu.edu/academics/program-directory?initDegree=MS,,,,FALSE,False,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.0,,,,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,
,Doctor of Philosophy in Mechanical Engineering,,,,,Doctoral,Fall 2026,,,,Required,Required,Optional,REQUIRED,"EngineeringCAS online application: when searching our for our progam applicaitons, use the filter to select Texas A&M University under the institution section. Then, type “mechanical engineering” into the search bar. You may narrow your search further by program level (masters or doctorate). This is the quickest way to find the appropriate application. Transcripts: Unofficial transcripts are acceptable for application review purposes. Any applicant who provides unofficial transcripts and is admitted will be required to submit official transcripts. Once all institutions attended have been entered in the Academic History: Colleges Attended section of the application, upload unofficial copies of all transcripts. International applicants do not need to request a WES evaluation. Proof of English Proficiency (international applicants only): To be eligible for admission to a graduate or professional program at Texas A&M University, international applicants are required to meet English language proficiency (ELP) standards provided in the form of Test of English as a Foreign Language (TOEFL) or International English Language Testing System (IELTS) test scores. To qualify for graduate assistantships with direct or support instructional responsibilities, the State of Texas also requires that international graduate students meet ELP standards beyond those required for admission. View the English Language Proficiency website for more information. Letters of Recommendation: Applicants must provide contact information for a minimum of 3 recommenders in the Program Materials: Recommendations section of the application. Each recommender should have intimate knowledge of the applicant's most advanced levels of academic and technical achievement. Once the recommendation request is saved, an automated email will be sent to the recommender on your behalf. Emailed recommendations will not be accepted.",Not Required,,False,True,False,False,False,False,,True,False,False,False,False,True,True,False,False,,,,J. Mike Walker '66 Department of Mechanical Engineering,"All students in our Ph.D. program receive financial support. All others receive funding in the form of a graduate assistantship, which includes a monthly stipend, remission of tuition and fees, and employee health insurance. [5]","All students in our Ph.D. program receive financial support. All others receive funding in the form of a graduate assistantship, which includes a monthly stipend, remission of tuition and fees, and employee health insurance. [5]",,,,,,,"The PhD in Mechanical Engineering is a rigorous degree program designed to establish an individual's ability to conduct independent, innovative research. Graduates from this program typically seek careers as faculty at a research university or as a researcher in an industrial or government research laboratory. [7] This PhD program equips students with the expertise and problem- solving skills necessary for career success by providing a grounding in mechanical engineering fundamentals and opportunities for broader exploration in topics ranging from entrepreneurship to machine learning. [16] A Doctor of Philosophy (Ph.D.) from the J. Mike Walker '66 Department of Mechanical Engineering opens the door to a wide range of career paths, including industry R&D, government research laboratories, consulting, entrepreneurship, and academia. [3] Our Ph.D. program equips students with the expertise and problem-solving skills necessary for career success. [3] The curriculum provides a grounding in mechanical engineering fundamentals and opportunities for broader exploration in topics ranging from entrepreneurship to machine learning. [3]",,https://grad.tamu.edu/academics/program-directory?initDegree=MS,"The undergraduate programs in Mechanical Engineering are accredited by the Engineering Accreditation Commission of ABET. [15] Texas A&M University is accredited by the Southern Association of Colleges and Schools Commission on Colleges (SACSCOC) to award bachelor's, master's and doctoral degrees. [15]",,,FALSE,True,,4.0,3.5,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.0,,,,,80,,,,,,,,,,,,,"external fellowships, graduate assistantship",FALSE,,,FALSE,FALSE,,,,
,Master of Engineering in Nuclear Engineering,,,,,Graduate,Fall 2026,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,nuclear materials option,"This program provides a balanced education in virtually all aspects of nuclear engineering principles and practice, from atomic and nuclear theory to reactor design. [4] A student holding a Bachelor of Science degree in engineering or a qualified senior during the last semester may apply for admission to graduate studies to work toward the non-thesis degree of Master of Engineering (MEng), majoring in their particular field of nuclear engineering. [4] This program is also approved for delivery via asynchronous or synchronous distance education technology. [4]",,https://grad.tamu.edu/academics/program-directory?initDegree=MS,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,
,Master of Science in Nuclear Engineering,,,,,Graduate,Fall 2026,,,,,,,,,,,True,True,False,False,False,False,,False,False,False,False,False,False,False,False,False,,,,College of Engineering,,A program fee is applied to all College of Engineering graduate students. [13],,,,,,"['power engineering', 'nonproliferation', 'nuclear materials', 'computational methods', 'health physics']","This MS program is designed to produce leaders in the development and application of technological solutions to problems involving nuclear and radiological materials and sources of radiation. The Master of Science (MS) curriculum in Nuclear Engineering is designed to develop new understanding through research and creativity. This degree is designed to be taken as a thesis option offering five specializations in power engineering, nonproliferation, nuclear materials, computational methods, and health physics. [15, 1]",,https://grad.tamu.edu/academics/program-directory?initDegree=MS,,,,FALSE,False,,4.0,3,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,"Merit-based, Diversity-based",FALSE,,,FALSE,FALSE,,,,
,Doctor of Philosophy in Nuclear Engineering,,,,,Doctoral,Fall 2026,,,,Optional,Required,Optional,REQUIRED,"Admission into the nuclear engineering graduate program is based upon many factors including GPA, letters of recommendation and the statement of purpose. [8] Required application materials include the EngineeringCAS online application, three letters of recommendation, and transcripts. [8] Applicants are required to pay an EngineeringCAS processing fee as well as a Texas A&M University application fee. [8]",Not Required,,True,False,False,False,False,False,,True,,,,False,True,True,False,False,,,,,,,,,,,,"['Computational methods development', 'Fusion Science & Engineering', 'Medical physics, radiation biology and health physics', 'Nuclear fuel cycles and materials', 'Nuclear power engineering']","Work leading to the degree of Doctor of Philosophy (PhD) is designed to give the candidate a thorough and comprehensive knowledge of their professional field and training in methods of research. [2, 6] The final basis for granting the degree shall be the candidate's grasp of the subject matter of a broad field of study and a demonstrated ability to do independent research. [2, 6] In addition, the candidate must have acquired the ability to express thoughts clearly and forcefully in both oral and written languages, as well as published a journal paper submitted and accepted by the editor prior to scheduling their final defense. [6] The curriculum provides a balanced education in virtually all aspects of nuclear engineering principles and practice, from atomic and nuclear theory to reactor design. [3] A doctoral candidate together with his or her graduate committee must develop a degree plan that upon completion will demonstrate mastery of advanced knowledge and skills in the chosen area of emphasis. [3]",,https://grad.tamu.edu/academics/program-directory?initDegree=MS,,,,FALSE,True,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,6.0,,,,,80,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,
,Master of Engineering in Ocean Engineering,,,,,Graduate,Fall 2026,,,,,,,,"Specific application requirements, including the need for documents such as resumes, statements of purpose, and letters of recommendation, are determined at the program level. Prospective students should consult the specific requirements for their program of interest.",,,True,False,False,False,False,False,,,False,False,False,,,,,,,,,,,,,,,,,"['coastal works', 'off-shore-energy (oil, gas, and renewables)', 'coastal systems', 'naval architecture', 'underwater robotics']","The Master of Engineering (MEng) degree in Ocean Engineering emphasizes breadth across the various fields of ocean engineering and advanced capabilities in one of the focus areas – coastal works, off-shore-energy (oil, gas, and renewables), coastal systems, naval architecture, and underwater robotics. [4, 6] Students take intermediate and advanced level courses in many key sub-disciplines of ocean engineering. [4, 6] Electives are offered for further specialization in focus areas. [4, 6] The degree is appropriate for an industrial career in ocean engineering. [4, 6]",,https://grad.tamu.edu/academics/program-directory?initDegree=MS,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,
,Master of Science in Ocean Engineering,,,,,Graduate,Fall 2026,,,,Required,Required,,,"Required Documents:

*   Statement of Purpose
*   Resume/CV
*   Three letters of recommendation
*   Transcripts

*   GRE: GRE scores are optional for applicants who have obtained a bachelor’s degree from a U.S. institution. However, applicants who have received a bachelor’s degree from an institution outside of the U.S. must submit GRE scores. All applicants are welcome to submit GRE scores for consideration.",Not Required,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,"['coastal works', 'off-shore-energy (oil and gas, and renewables)', 'naval architecture', 'underwater robotics']","The Master of Science thesis and non-thesis degrees in Ocean Engineering emphasize breadth across the various fields of ocean engineering along with advanced capabilities in one of the focus areas – coastal works, off-shore-energy (oil and gas, and renewables), naval architecture, and underwater robotics. [9] Students take intermediate and advanced level courses in many key sub-disciplines of ocean engineering. [9] Electives are offered for further specialization in focus areas. [9] The degree is appropriate for a career in any area of ocean engineering with advanced expertise in the chosen focus area. [9]",,https://grad.tamu.edu/academics/program-directory?initDegree=MS,,,,FALSE,True,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,
,Doctor of Philosophy in Ocean Engineering,,,,,Doctoral,Fall 2026,,,,Not Required,Required,,,"To apply, you will be required to submit the following: EngineeringCAS online application, a 1-1½ page statement of purpose, unofficial transcripts from each institution you have attended, and three (3) letters of recommendation/evaluation. International applicants are also required to provide proof of English proficiency.",Not Required,,True,False,,,,,,,,,,,,,,,,,,College of Engineering,,,,,,,,"['ocean systems', 'coastal works', 'off-shore-energy (oil, gas and renewables)', 'naval architecture', 'underwater robotics']","The Doctor of Philosophy (PhD) degree in Ocean Engineering ensures breadth across the various fields of ocean engineering along with cutting-edge research and practical capabilities in one of the focus areas – ocean systems, coastal works, off-shore-energy (oil, gas and renewables), naval architecture, and underwater robotics. [3] Students take intermediate and advanced level courses in many key sub-disciplines of Ocean Engineering. [3] Electives are offered for further specialization in focus areas. [3] Thesis research focuses on cutting-edge contributions in a specific topic in the focus area. [3] The degree is appropriate for a career in research, policy making, and advanced practice in the chosen focus area. [3]",,https://grad.tamu.edu/academics/program-directory?initDegree=MS,,,,FALSE,True,,4.0,3.0,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,"Many students receive funding as either teaching assistants (TA) or research assistants (RA). The assistantships cover a monthly stipend, health insurance, and tuition. Additionally, exceptional students are considered for fellowships. The Department of Ocean Engineering also provides graduate scholarships to students every year. [10]",FALSE,,,FALSE,FALSE,,,,
,Master of Engineering in Petroleum Engineering,,,,,Graduate,Fall 2026,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Master of Engineering (MEng) degree is practice oriented. Although most of the courses on the degree plan are expected to be in engineering or scientific disciplines, you may select other courses from different fields that reflect your individual interests and career goals.",,https://grad.tamu.edu/academics/program-directory?initDegree=MS,,,,FALSE,False,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,FALSE,,,,
