Concentration name,description,program website url,Accreditation status,Level,Program name,Program Page url,level
,"The Ph.D. in bioscience and biotechnology is an interdisciplinary program that combines strengths in biology and chemistry with engineering to offer a unique doctoral program. The program is a part of the core research focus at Clarkson's Center for Advanced Materials Processing (CAMP) and the Center for Air Resources Engineering and Science (CARES). Doctoral students may also be affiliated with Clarkson's Beacon Institute for Rivers and Estuaries. The program is jointly administered by the Departments of Biology and Chemistry & Biomolecular Science. Research opportunities are provided by Clarkson faculty who are well-recognized and funded in their individual fields. Research focus areas include but are not limited to: Biomaterials, Bioinformatics & Biocomputational Modeling, Environmental Science & Biotechnology, and Molecular & Cell Biology.",https://www.clarkson.edu/academics/graduate/bioscience-biotechnology-phd,,PhD,Doctor of Philosophy in Bioscience and Biotechnology,https://www.clarkson.edu/academics/graduate/programs,
,"The M.S. in Bioscience & Biotechnology is offered through the Department of Biology in Clarkson's School of Arts & Sciences. The program has a strong research emphasis. It is intended for students with bachelor's degrees who wish to further their training for careers in the rapidly growing fields of bioscience and biotechnology.

Our state-of-the-art facilities offer a rich environment for research. This includes our facilities in the Center for Applied Science & Engineering (CASE), which opened in 2021. The program also draws from our strong connections with biotech companies, including those in the Trudeau Institute business incubator. Our proximity to the Adirondack Mountains provides unique opportunities to study environmental biology and biotechnology.

Our bioscience and biotechnology graduate program is small. This allows for personalized interaction between students and faculty. We offer a thesis-based degree with opportunities for cutting-edge research in a wide range of modern biological disciplines. These include molecular and cell biology, genomics, immunology and biotechnology. Faculty in the Department of Biology are actively engaged in research that crosses disciplines. They also work with faculty in chemistry, engineering and physics. Students are engaged in projects ranging from the development of novel anti-cancer drugs to the study of social behavior. They also explore the genetic basis of diseases and use DNA-based methods to understand ecosystem functioning.",https://www.clarkson.edu/graduate/bioscience-biotechnology,,Master of Science,Master of Science in Bioscience and Biotechnology,https://www.clarkson.edu/academics/graduate/programs,
"Analytical/Inorganic/Physical Chemistry, Biomolecular Chemistry, Materials/Polymer Chemistry, Organic/Medicinal Chemistry","The Department of Chemistry and Biomolecular Science offers a program of study leading to the Doctor of Philosophy degree in chemistry. The PhD degree is a research-based degree that requires a dissertation based on original research. It typically takes four to five years to complete the degree requirements. The research specialties of our faculty span the traditional areas of analytical, inorganic, physical, and organic chemistry and biochemistry. Much of our research is interdisciplinary, with active collaborations with faculty from other departments, including biology, physics, chemical engineering, and mechanical engineering. Clarkson's Center for Advanced Materials Processing (CAMP) is another area of active interdisciplinary research and the intellectual center for a number of high-tech industries.",https://www.clarkson.edu/graduate/doctor-philosophy-chemistry,,,Doctor of Philosophy in Chemistry,https://www.clarkson.edu/academics/graduate/programs,
"Analytical Chemistry, Inorganic Chemistry, Organic Chemistry, Physical Chemistry, Materials Chemistry","The Master of Science in Chemistry is a two-year research-based degree in which students work closely with their research advisors on a research project that will ultimately be submitted for their thesis. Students are prepared to go into a doctoral program or an industrial position. The department has five major research areas: Analytical Chemistry, Inorganic Chemistry, Organic Chemistry, Physical Chemistry, and Materials Chemistry. Students will take courses in these areas and participate in a vibrant seminar program. Students must pass a series of cumulative exams in their chosen area of study, write a publishable thesis, and defend it to complete the degree.",https://www.clarkson.edu/graduate/master-science-chemistry,,Masters,Master of Science in Chemistry,https://www.clarkson.edu/academics/graduate/programs,
,"The Doctor of Philosophy (PhD) program in mathematics is offered through the Department of Mathematics. The Department of Mathematics at Clarkson has a long history of national recognition in applied mathematics. The program provides a broad background in several areas of applied mathematics and expertise in an area of specialization. Students become experienced researchers by completing a dissertation under the direction of a faculty advisor. The PhD in mathematics gives students training and experience that allows them to pursue careers in academia, industry or government.",https://www.clarkson.edu/graduate/phd-mathematics,,PhD,Doctor of Philosophy in Mathematics,https://www.clarkson.edu/academics/graduate/programs,
,"Our Master of Science in Mathematics program is designed for you if you love math and want to apply it to solve problems in a range of fields. We will prepare you for a professional career in industry or government, or for further graduate study.

Our faculty are active researchers and dedicated teachers in a wide range of areas in both pure and applied mathematics. They are accessible to students and integrate them into research projects. As an MS student, you will have the opportunity to participate in and present your research at seminars and conferences.

We provide a supportive, collaborative environment where you can explore your individual interests. You will complete a thesis or research project in your area of interest under the direction of a faculty advisor.

Our recent graduates have found employment at companies such as the Naval Nuclear Laboratory, The Hartford Insurance, the U.S. Census Bureau and Trans-American Financial. Others have gone on to PhD programs at schools like the University of North Carolina and Baylor University.",https://www.clarkson.edu/academics/arts-sciences/mathematics/graduate-programs/master-science-mathematics,,Masters,Master of Science in Mathematics,https://www.clarkson.edu/academics/graduate/programs,
"['Applied Physics', 'Astrophysics and Gravitational Waves', 'Atomic, Molecular and Optical Physics', 'Biophysics and Soft Matter', 'Computational Physics and Data Science', 'Condensed Matter and Materials Physics', 'Nonlinear Physics and Complex Systems', 'Physics Education Research']","The Department of Physics offers a flexible program of study leading to the PhD degree. Students can design a program that best suits their academic and research goals. The physics program offers a diverse curriculum with specialization in many areas of physics. The program also emphasizes collaborative interdisciplinary research. A physics degree prepares students to enter numerous STEM careers in academia, industry and government labs. Clarkson faculty are nationally and internationally recognized for their research. Research is sponsored by federal agencies, including the National Science Foundation, the Department of Energy, the Department of Defense and NASA.",https://www.clarkson.edu/graduate/doctor-philosophy-physics,,PhD,Doctor of Philosophy in Physics,https://www.clarkson.edu/academics/graduate/programs,
,"The Master of Science in Physics degree is awarded upon the successful completion of a minimum of 30 credit hours of graduate work, as specified in one of the options below. At least 20 of these credit hours must be in physics. A cumulative grade point average of at least 3.0 in all graduate courses is required.

Graduate students work closely with faculty mentors in both formal coursework and research. Research opportunities exist in the areas listed below. We have a very active faculty whose research efforts have been recognized by funding from the National Science Foundation, NASA, the Office of Naval Research and the Air Force Office of Scientific Research.

Research Areas

Applied Physics
Astrophysics
Biophysics
Computational Physics
Condensed Matter Physics
Nonlinear Dynamics
Optics
Physics Education
Relativity
Statistical Physics",https://www.clarkson.edu/graduate/master-science-physics,,,Master of Science in Physics,https://www.clarkson.edu/academics/graduate/programs,
,"As society and industry increasingly face complex issues related to energy production and use, the demand for T-shaped professionals who can bridge the gap between engineering and management in the energy industry has never been greater. The Advanced Certificate in Business of Energy from Clarkson University will give you the knowledge you need to enter the dynamic field of energy.",https://www.clarkson.edu/academics/graduate/advanced-certificate-business-energy,,Certificate,Advanced Certificate in Business of Energy,https://www.clarkson.edu/academics/graduate/programs,
,"The advanced certificate in environmental management provides professionals with the skills needed to make informed decisions that balance environmental concerns and economic realities. The program is ideal for those in the environmental sector who require formal training in management, as well as those in business and other fields who need to expand their knowledge of environmental issues. The coursework offers training in the core areas of environmental regulation, environmental and natural resource economics, environmental systems analysis and project management. The certificate consists of four required courses, all of which are offered online.",https://www.clarkson.edu/academics/graduate/programs/advanced-certificate-environmental-management,,Certificate,Advanced Certificate in Environmental Management,https://www.clarkson.edu/academics/graduate/programs,
