Concentration name,description,program website url,Accreditation status,Level,Program name,Program Page url,error
,"The Ph.D. program in Germanic Languages and Literatures provides students with a comprehensive knowledge of the major periods and genres of German literature and culture from the eighteenth century to the present, while encouraging them to develop in-depth expertise in one or more specialized areas of interest. These may include particular literary or historical periods (e.g., the eighteenth century; the Goethezeit; modernism), genres (e.g., the novel; poetry; drama), or a specific theoretical or interdisciplinary field of inquiry (e.g., literary theory; intellectual history; philosophy and literature; visual culture; film studies; translation studies; gender studies).

Students are encouraged to take courses in other departments and programs, such as the Institute for Comparative Literature and Society, the Department of History, the Department of Philosophy, the Institute for the Study of Sexuality and Gender, and the Film and Media Studies program in the School of the Arts. Those with an interest in medieval studies can take advantage of the rich course offerings both at Columbia and, through the Inter-University Doctoral Consortium, at the CUNY Graduate Center, Fordham, the New School, NYU, Princeton, Rutgers, and Stony Brook. Students may also obtain a graduate Certificate in Comparative Literature and Society or in Feminist Inquiry.

The graduate program admits only Ph.D. candidates. Students will be awarded the M.A. and M.Phil. degrees en route to the Ph.D. We typically accept two to four graduate students per year. Classes are small, and students work closely with the faculty. For information about applying to the program, see the Graduate School of Arts and Sciences website.",https://germanic.columbia.edu/content/phd-program,,PhD,PhD in Germanic Languages,"The official university website for Columbia University in the City of New York is www.columbia.edu.

This website serves as the main portal for the university, providing access to information on admissions, academics, research, campus life, and news. Prospective students can find details on undergraduate and graduate programs, while current students, faculty, and staff can access various resources and university-related information. The site also highlights Columbia's impact and its connection to New York City.",
,"The PhD program in the Department of Italian offers a thorough grounding in Italian literature and culture from the Middle Ages to the present day. Students are also encouraged to develop competence in a secondary field of interest, such as comparative literature, art history, history, philosophy, film studies, or another national literature. The relatively small size of the program allows for a close working relationship between faculty and students.",https://gsas.columbia.edu/degree-programs/phd-programs/italian,,,PhD in Italian,"The official university website for Columbia University in the City of New York is www.columbia.edu.

This website serves as the main portal for the university, providing access to information on admissions, academics, research, campus life, and news. Prospective students can find details on undergraduate and graduate programs, while current students, faculty, and staff can access various resources and university-related information. The site also highlights Columbia's impact and its connection to New York City.",
"Classical Philology, Ancient History","The Department of Classics offers programs of study leading to the degrees of Doctor of Philosophy and, in some cases, a terminal Master of Arts. The PhD program offers two tracks, one in Classical Philology and one in Ancient History. The Philology track prepares students to become scholars and teachers of Greek and Latin literature, and of classical philology in the widest sense. It encourages a variety of approaches to the literary, historical, and philosophical texts of Greco-Roman antiquity. The Ancient History track, an interdepartmental program administered jointly by the Departments of Classics and History, prepares students to become scholars and teachers of Greek and Roman history. It provides a balanced training in the traditional historical and philological methods and in the more innovative approaches developed in recent years by historians of the ancient world. The department expects that students will complete the PhD in six years.",https://classics.columbia.edu/content/graduate-program,,PhD,PhD in Classical Studies,"The official university website for Columbia University in the City of New York is www.columbia.edu.

This website serves as the main portal for the university, providing access to information on admissions, academics, research, campus life, and news. Prospective students can find details on undergraduate and graduate programs, while current students, faculty, and staff can access various resources and university-related information. The site also highlights Columbia's impact and its connection to New York City.",
"['Classical Philology', 'Ancient History', 'Classical Archaeology', 'Classics and Philosophy (Joint Program)']","The graduate program in Classics at Columbia offers a course of study leading to the degree of Doctor of Philosophy. The PhD program offers two tracks, one in Classical Philology, the other in Ancient History; students in both tracks may also pursue a special concentration in Classical Archaeology. Students interested in the study of ancient philosophy can apply for the joint program in Classics and Philosophy, or can incorporate a substantial amount of work in ancient philosophy within either track of the regular Classics PhD program. Students choose their track when they first apply, but may petition the DGS to switch tracks during their first two years.",https://classics.columbia.edu/content/phd-program,,PhD,PhD in Classics,"The official university website for Columbia University in the City of New York is www.columbia.edu.

This website serves as the main portal for the university, providing access to information on admissions, academics, research, campus life, and news. Prospective students can find details on undergraduate and graduate programs, while current students, faculty, and staff can access various resources and university-related information. The site also highlights Columbia's impact and its connection to New York City.",
,"The Ph.D. program in English and Comparative Literature at Columbia provides students with a foundational knowledge of literary history and criticism, while encouraging them to develop their own specialized interests. To this end, students are allowed considerable latitude to define their intellectual trajectories in a curriculum that includes departmental seminars, courses in other disciplines, and independent studies with faculty members. Most students complete the program, including the dissertation, in six years. During this time, they acquire an M.A. and an M.Phil. en route to the Ph.D. Along with research and writing, graduate education at Columbia involves training in pedagogy, and students are prepared for their profession through a carefully designed sequence of teaching opportunities in the University's undergraduate curriculum.",https://english.columbia.edu/graduate/phd-program/,,,PhD in English and Comparative Literature,"The official university website for Columbia University in the City of New York is www.columbia.edu.

This website serves as the main portal for the university, providing access to information on admissions, academics, research, campus life, and news. Prospective students can find details on undergraduate and graduate programs, while current students, faculty, and staff can access various resources and university-related information. The site also highlights Columbia's impact and its connection to New York City.",
"['Ancient History', 'Medieval History', 'Early Modern European History', 'Modern European History', 'United States History', 'Latin American and Caribbean History', 'Middle Eastern History', 'African History', 'South Asian History', 'East Asian History', 'International and Global History (IGH)', 'History of Science', 'Jewish History', 'Gender and Sexuality', 'Legal History', 'Political History', 'History of Race and Ethnicity']","The Ph.D. program in History at Columbia is one of the nation’s best. With a large and diverse faculty and a prime location in New York City, we offer a vibrant intellectual community for a select group of talented students. Our faculty supervise graduate research in a wide range of fields from ancient to contemporary history and in all regions of the world. Graduate students pursue a combination of coursework, research, and teaching that gives them the tools they need to become leading scholars and educators. They benefit from close intellectual collaboration with their advisers and other faculty members and from a strong sense of community that extends across fields, time periods, and geographical areas.",https://history.columbia.edu/graduate/phd-program/,,,PhD in History,"The official university website for Columbia University in the City of New York is www.columbia.edu.

This website serves as the main portal for the university, providing access to information on admissions, academics, research, campus life, and news. Prospective students can find details on undergraduate and graduate programs, while current students, faculty, and staff can access various resources and university-related information. The site also highlights Columbia's impact and its connection to New York City.",
,"The PhD program in Philosophy provides students with advanced training in the history of philosophy and in the central areas of contemporary philosophical inquiry: metaphysics, epistemology, ethics, and logic. It is designed to prepare them for careers as university teachers and researchers in philosophy. It provides structured training in the core areas of the discipline combined with the flexibility to allow students to pursue their particular areas of interest. The small size of the program allows for extensive interaction between faculty and students.",https://gsas.columbia.edu/degree-programs/phd-programs/philosophy,,PhD,PhD in Philosophy,"The official university website for Columbia University in the City of New York is www.columbia.edu.

This website serves as the main portal for the university, providing access to information on admissions, academics, research, campus life, and news. Prospective students can find details on undergraduate and graduate programs, while current students, faculty, and staff can access various resources and university-related information. The site also highlights Columbia's impact and its connection to New York City.",
"['Buddhism', 'Christianity', 'East Asian Religions', 'Islam', 'Judaism', 'North American Religions', 'Philosophy of Religion']","The Department of Religion at Columbia University offers a Ph.D. program for students seeking to become scholars and teachers. The program is designed to provide students with a strong foundation in the academic study of religion as a field, while also offering them the opportunity to pursue in-depth research in one of our seven subfields. We encourage interdisciplinary study and many students take advantage of the rich course offerings available in other departments and at other universities in the New York area. The program of study is composed of coursework, teaching, and independent research and writing leading to the dissertation. Our graduates go on to successful careers at colleges and universities in the United States and abroad. The department seeks students of outstanding ability and promise. Each year we admit five to seven students from a pool of around 200 applicants. The program is designed to be completed in six years, and all admitted students receive six years of fellowship support.",https://religion.columbia.edu/content/phd-program,,PhD,PhD in Religion,"The official university website for Columbia University in the City of New York is www.columbia.edu.

This website serves as the main portal for the university, providing access to information on admissions, academics, research, campus life, and news. Prospective students can find details on undergraduate and graduate programs, while current students, faculty, and staff can access various resources and university-related information. The site also highlights Columbia's impact and its connection to New York City.",
"['Russian literature', 'Czech literature', 'Polish literature', 'South Slavic (Serbian/Croatian/Bosnian) literature', 'Ukrainian literature']","The doctoral program in Slavic Languages and Literatures provides students with an advanced knowledge of Slavic literatures and cultures in a comparative, interdisciplinary context. Students in the PhD program specialize in one of the Slavic literatures (Russian, Czech, Polish, South Slavic (Serbian/Croatian/Bosnian), or Ukrainian), and choose a secondary Slavic literature or a comparative field as their minor field of specialization. The program places a strong emphasis on literary theory and cultural studies. Students are encouraged to take courses in other disciplines, such as art history, comparative literature, film, history, and philosophy, as well as in Columbia's regional institutes.

The program has particular strengths in nineteenth- and twentieth-century Russian literature and culture (prose, poetry, drama, and literary theory); in Czech literature and culture of the nineteenth and twentieth centuries, particularly of the avant-garde; and in Polish literature and culture of the nineteenth and twentieth centuries, particularly Romanticism and modernism.

The PhD program offers two free-standing MA degrees: an MA in Slavic Cultures and an MA in Russian Translation. For more information, see the MA programs page. Applicants interested in the MA in Slavic Cultures or the MA in Russian Translation should apply directly to those programs.

The department also participates in the final two years of the Harriman Institute's new four-year MARS-Mellon Interdisciplinary PhD Program in Russian Studies.",https://gsas.columbia.edu/degree-programs/phd-programs/slavic-languages-and-literatures,,PhD,PhD in Slavic Languages,"The official university website for Columbia University in the City of New York is www.columbia.edu.

This website serves as the main portal for the university, providing access to information on admissions, academics, research, campus life, and news. Prospective students can find details on undergraduate and graduate programs, while current students, faculty, and staff can access various resources and university-related information. The site also highlights Columbia's impact and its connection to New York City.",
,"The Master of Science in Accounting and Fundamental Analysis is a three-semester STEM-designated program that prepares students for careers in the field. Rooted in the ideas of legendary Columbia Business School professors Ben Graham and David Dodd, this program integrates accounting principles with fundamental analysis. Students learn how to use accounting information, particularly a firm’s financial statements, to make informed investment and valuation decisions. This rigorous, technically demanding curriculum has been crafted to help students thrive in the fast-paced, high-stakes world of finance. It will also satisfy the coursework requirements to sit for the New York State CPA exam.",https://business.columbia.edu/ms/accounting,,Master of Science,Master of Science in Accounting and Fundamental Analysis,"The official university website for Columbia University in the City of New York is www.columbia.edu.

This website serves as the main portal for the university, providing access to information on admissions, academics, research, campus life, and news. Prospective students can find details on undergraduate and graduate programs, while current students, faculty, and staff can access various resources and university-related information. The site also highlights Columbia's impact and its connection to New York City.",
,"The fully online 32-point Master of Arts Degree program in Adult Learning and Leadership is for professionals who want to lead and support adult learning and development in a range of organizational settings. Our program is a community of inquiry and practice, and a lab for change and innovation in how we learn, lead and develop as adults. A distinguishing feature of our program is its application-based focus where students are asked to take the ideas from their coursework and put them to use in their ongoing work. The curriculum is delivered fully online using both synchronous and asynchronous learning formats to deliver a state-of-the-art and cohort-based learning experience. Students who enroll in this program complete it in 16 months (four consecutive semesters).
As a student in the Adult Learning and Leadership program, you will:
- Learn key theories and concepts of adult learning and development
- Identify and apply key strategies for learning design and facilitation
- Develop key capabilities for leading and supporting learning including systems thinking, team development, group dynamics, giving and receiving feedback, conflict resolution, coaching and mentoring
- Develop skills for assessing, evaluating and researching learning
- Engage in an action research project that addresses a real problem of practice",https://www.tc.columbia.edu/organization-and-leadership/adult-learning-and-leadership/academics/adult-learning-and-leadership-online-ma/,,,Master of Arts in Adult Learning And Leadership (Online),"The official university website for Columbia University in the City of New York is www.columbia.edu.

This website serves as the main portal for the university, providing access to information on admissions, academics, research, campus life, and news. Prospective students can find details on undergraduate and graduate programs, while current students, faculty, and staff can access various resources and university-related information. The site also highlights Columbia's impact and its connection to New York City.",
,"The Master of Education (Ed.M.) in Adult Learning and Leadership is for those who wish to develop a deep expertise in adult learning and have a significant leadership role in their organization or community setting, leading or influencing learning-related initiatives. The Ed.M. program is a rigorous, intensive program that combines a strong foundation in theory with an emphasis on the practical application of this knowledge to real world problems. The program is specifically designed to develop three key competencies:
1. a strategic perspective – the ability to create adult learning initiatives that are aligned with and supportive of larger organizational goals
2. instructional design capability – the ability to design and deliver effective adult learning programs
3. learning facilitation skills – the ability to create a safe and challenging learning environment that brings out the best in learners.
Our curriculum is structured to develop these skills and is built upon a strong academic foundation in the theory and practice of adult learning. The Ed.M. is designed for individuals who are committed to a career in adult learning. They often occupy positions of leadership in their organizations and manage learning-related initiatives.",https://www.tc.columbia.edu/organization-and-leadership/adult-learning-and-leadership/academics/master-of-education-ed-m-degree/,,Master of Education,Master of Education in Adult Learning and Leadership,"The official university website for Columbia University in the City of New York is www.columbia.edu.

This website serves as the main portal for the university, providing access to information on admissions, academics, research, campus life, and news. Prospective students can find details on undergraduate and graduate programs, while current students, faculty, and staff can access various resources and university-related information. The site also highlights Columbia's impact and its connection to New York City.",
,"The Adult Learning and Leadership Program at Teachers College, Columbia University is the oldest and one of the most prestigious graduate programs in adult learning and leadership in the United States. Established in 1928, it has conferred master's and doctoral degrees to thousands of graduates who have gone on to stellar careers in a wide range of settings in which adult learning and leadership are practiced. These include business and industry, consulting, healthcare, government, higher education, non-profit organizations, and community-based groups. The vision of the Adult Learning and Leadership Program is to create a more just and equitable world by developing scholar-practitioners who can effectively lead and learn in the contemporary workplace and in society at large. Our primary goal is to provide a rigorous and supportive academic community that will enable you to acquire the knowledge and skills needed to become a reflective and effective practitioner and/or a successful doctoral student.",https://www.tc.columbia.edu/organization-and-leadership/adult-learning-and-leadership/,,Master of Arts,Master of Arts in Adult Learning and Leadership,"The official university website for Columbia University in the City of New York is www.columbia.edu.

This website serves as the main portal for the university, providing access to information on admissions, academics, research, campus life, and news. Prospective students can find details on undergraduate and graduate programs, while current students, faculty, and staff can access various resources and university-related information. The site also highlights Columbia's impact and its connection to New York City.",
,"The MS in Advanced Clinical Management and Leadership program at Columbia University School of Nursing prepares nurses at the graduate level to lead health care organizations. The curriculum builds on previous nursing education and experience by expanding knowledge of organizational leadership, financial management, health care policy, and technology. The program aims to train a new generation of nurses who are skilled in implementing strategies and best practices that facilitate patient engagement, promote care coordination, and improve health outcomes. Graduates are equipped with the skills and competencies needed to apply evidence-based knowledge and management principles to their practice and lead the planning, delivery, and evaluation of health services in diverse settings. The program is 42 credits and may be completed in 15 months (four semesters). This program does not provide the educational preparation for advanced practice registered nurse licensure.",https://www.nursing.columbia.edu/academics/ms-programs/ms-advanced-clinical-management-and-leadership,"The baccalaureate degree program in nursing, master's degree program, Doctor of Nursing Practice program and post-graduate APRN certificate program at Columbia University School of Nursing are accredited by the Commission on Collegiate Nursing Education, 655 K Street NW, Suite 750, Washington, DC 20001, 202-887-6791.",,Master of Science in Advanced Clinical Management and Leadership,"The official university website for Columbia University in the City of New York is www.columbia.edu.

This website serves as the main portal for the university, providing access to information on admissions, academics, research, campus life, and news. Prospective students can find details on undergraduate and graduate programs, while current students, faculty, and staff can access various resources and university-related information. The site also highlights Columbia's impact and its connection to New York City.",
,"The Master of Science in Applied Analytics at Columbia University’s School of Professional Studies prepares students with the practical data and leadership skills to succeed in the coming era. The program is a 36-credit, campus-based, full- or part-time program that can be completed in as little as one year. The program teaches students how to be strategic thinkers and effective communicators who can collect, manage, and analyze data to drive and inform decision-making in a wide range of fields. Students learn to frame questions and find answers using analytics methods and tools. The program balances a rigorous curriculum of analytics theory with practical application, including courses in leadership, communication, and strategy, and offers a broad range of electives that allow students to tailor the program to their interests and career goals.",https://sps.columbia.edu/academics/masters/applied-analytics,,Master of Science,Master of Science in Applied Analytics,"The official university website for Columbia University in the City of New York is www.columbia.edu.

This website serves as the main portal for the university, providing access to information on admissions, academics, research, campus life, and news. Prospective students can find details on undergraduate and graduate programs, while current students, faculty, and staff can access various resources and university-related information. The site also highlights Columbia's impact and its connection to New York City.",
,"The Columbia University M.S. in Applied Analytics prepares students with the practical data and leadership skills to succeed. The program's core curriculum gives students a rigorous foundation in computational and statistical methods. Then, through a choice of dozens of electives, students can deepen their expertise in a range of subjects, including advanced analytics methods, strategy, management, and operations. This structure allows students to tailor their studies to their interests and career goals. Students also have the opportunity to participate in the Analytics Practicum, where they will have a hands-on experience by completing a semester-long project for a sponsoring organization. Applied Analytics students graduate with a deep quantitative and qualitative understanding of how data can be used to make decisions. They are prepared to lead teams of data analysts and scientists and to drive data-driven decision-making in their organizations.",https://sps.columbia.edu/academics/masters/applied-analytics,,Master of Science,Master of Science in Applied Analytics (Online),"The official university website for Columbia University in the City of New York is www.columbia.edu.

This website serves as the main portal for the university, providing access to information on admissions, academics, research, campus life, and news. Prospective students can find details on undergraduate and graduate programs, while current students, faculty, and staff can access various resources and university-related information. The site also highlights Columbia's impact and its connection to New York City.",
"FinTech, Marketing Analytics, Analytics Algorithms & Methodology","The Master of Science in Business Analytics (MSBA) program, a three-semester program offered by Columbia Business School (CBS) and The Fu Foundation School of Engineering and Applied Science (SEAS), is for motivated individuals who want to become data-savvy business leaders. Students will learn how to apply modern data science and machine learning techniques to real-world business problems. The program’s integrated curriculum emphasizes the development of technical skills and the communication and interpersonal skills needed to deliver practical and impactful results. The program can be completed on an accelerated 2-semester track (Fall, Spring) or a 3-semester track (Fall, Spring, Summer) with a summer internship.",https://academics.gsb.columbia.edu/ms/business-analytics,,Master of Science,Master of Science in Business Analytics,"The official university website for Columbia University in the City of New York is www.columbia.edu.

This website serves as the main portal for the university, providing access to information on admissions, academics, research, campus life, and news. Prospective students can find details on undergraduate and graduate programs, while current students, faculty, and staff can access various resources and university-related information. The site also highlights Columbia's impact and its connection to New York City.",
Specialization in Data and Computational Science,"The MS in Chemical Engineering with a specialization in Data and Computational Science offers a unique opportunity for students to complement their traditional chemical engineering education with advanced skills in data science and computational methods. This specialization is designed to address the growing demand in the chemical and materials industries for professionals who can leverage large datasets and computational tools to solve complex engineering problems, optimize processes, and drive innovation. Students in this specialization will take a combination of core chemical engineering courses and specialized electives in areas such as machine learning, data mining, scientific computing, and molecular simulations. The curriculum is structured to provide a strong foundation in both fundamental chemical engineering principles and cutting-edge computational techniques, preparing graduates for careers at the interface of chemical engineering, data science, and high-performance computing. This specialization is ideal for students who wish to pursue careers in research and development, process design and optimization, data analytics, and computational modeling in a wide range of industries, including pharmaceuticals, energy, materials, and biotechnology.",https://cheme.columbia.edu/ms-chemical-engineering,,Master of Science,Master of Science in Chemical Engineering - Data and Computational Science,"The official university website for Columbia University in the City of New York is www.columbia.edu.

This website serves as the main portal for the university, providing access to information on admissions, academics, research, campus life, and news. Prospective students can find details on undergraduate and graduate programs, while current students, faculty, and staff can access various resources and university-related information. The site also highlights Columbia's impact and its connection to New York City.",
,"The Master of Science in Computational Biology program provides advanced training that prepares students to meet the challenges at the forefront of this cutting-edge field. It emphasizes the development of quantitative skills and the use of computational tools to solve biological problems. The program is specifically designed for students who are interested in pursuing research at the interface of computation and biology, as well as for those who plan to work in the biotechnology or pharmaceutical industries. The MS program integrates a rigorous curriculum with an intensive, hands-on research experience that gives students the opportunity to participate in the high-impact science being carried out in the Department of Systems Biology and across the Columbia University Irving Medical Center. Students work one-on-one with a faculty mentor, and complete their training by submitting a master’s thesis that describes their research project. Graduates of the program will be well prepared to pursue a wide range of career options, including continuing their graduate education in a PhD program or finding employment in either the academic or private sector.",https://www.systemsbiology.columbia.edu/education/ms-computational-biology,,Master of Science,Master of Science in Computational Biology,"The official university website for Columbia University in the City of New York is www.columbia.edu.

This website serves as the main portal for the university, providing access to information on admissions, academics, research, campus life, and news. Prospective students can find details on undergraduate and graduate programs, while current students, faculty, and staff can access various resources and university-related information. The site also highlights Columbia's impact and its connection to New York City.",
,"The Master of Science in Computational Design Practices (MSCDP) is a new 3-term STEM-designated master’s degree at Columbia GSAPP that focuses on the development of new computational design approaches by which to address pressing contemporary social, cultural, and environmental challenges. From the design of buildings to cities, the discipline of architecture is increasingly influenced by a complex and high-volume flow of data. The MSCDP program educates a new generation of computational designers who can not only use but also create new computational design tools by which to understand and act on this data. The program empowers students to develop novel design workflows that harness the immense potential of computation to create more just, inclusive, and sustainable futures.

Students in the program apply advanced computational design skills to a specific “practice area” of their choosing—these can range from ecological simulation and climate-change modeling to responsive technologies, artificial intelligence, and urban analytics. Through a combination of required courses, specialized seminars, and independent research, students are empowered to engage with computation not only from a technical but also a critical and conceptual perspective. The program offers a hands-on and project-based curriculum organized around a year-long research thesis that students develop together with faculty.

The MSCDP program is open to applicants from a range of backgrounds including architecture, data science, engineering, and media arts. We welcome students who wish to augment their existing design skills with cutting-edge computational knowledge, as well as students with a strong technical background who wish to apply their work to design and the built environment. No prior programming experience is required.",https://www.arch.columbia.edu/programs/12-master-of-science-in-computational-design-practices,,Master of Science,Master of Science in Computational Design Practices,"The official university website for Columbia University in the City of New York is www.columbia.edu.

This website serves as the main portal for the university, providing access to information on admissions, academics, research, campus life, and news. Prospective students can find details on undergraduate and graduate programs, while current students, faculty, and staff can access various resources and university-related information. The site also highlights Columbia's impact and its connection to New York City.",
"['Computer architecture', 'Mobile and embedded systems', 'VLSI and design automation', 'Computer networks']","The Master of Science (MS) program in Computer Engineering is intended for students with a strong background in computer engineering, computer science or electrical engineering, who wish to pursue graduate studies in the areas of computer architecture, mobile and embedded systems, VLSI and design automation, and computer networks. The MS program requires the completion of 30 points of graduate coursework, which may optionally include a 3 to 6-point MS thesis. The program is flexible and can be tailored to the student’s interests in consultation with a faculty advisor. The MS program may be pursued on a part-time or full-time basis.",https://www.electrical.engineering.columbia.edu/ms-computer-engineering,,Master of Science,Master of Science in Computer Engineering,"The official university website for Columbia University in the City of New York is www.columbia.edu.

This website serves as the main portal for the university, providing access to information on admissions, academics, research, campus life, and news. Prospective students can find details on undergraduate and graduate programs, while current students, faculty, and staff can access various resources and university-related information. The site also highlights Columbia's impact and its connection to New York City.",
,"The Institute for Research in African-American Studies offers a Master of Arts degree in African-American Studies. This interdisciplinary program is designed for students who wish to pursue a doctorate in the field, as well as for those who wish to pursue a professional career in which an M.A. degree in African-American studies would be useful. The M.A. is a two-semester program in which students are required to register for the M.A. Proseminar in the fall and the M.A. Thesis seminar in the spring. All M.A. candidates must complete an M.A. thesis. IRAAS does not offer financial aid for the M.A. program. Students in the program must satisfy the requirements of the Graduate School of Arts and Sciences. Prospective students should apply directly to the Graduate School of Arts and Sciences.",https://afamstudies.columbia.edu/content/ma-program,,Master of Arts,Master of Arts in African - American Studies,"The official university website for Columbia University in the City of New York is www.columbia.edu.

This website serves as the main portal for the university, providing access to information on admissions, academics, research, campus life, and news. Prospective students can find details on undergraduate and graduate programs, while current students, faculty, and staff can access various resources and university-related information. The site also highlights Columbia's impact and its connection to New York City.",
,"The M.A. in American Studies is a free-standing M.A. degree program in the Center for the Study of Ethnicity and Race (CSER). It is an interdisciplinary program that draws on faculty and courses from across the humanities and social sciences. The program offers students rigorous training in the interdisciplinary study of race, ethnicity, and indigeneity, with a focus on the study of the United States, and the US’s role in the world. The M.A. in American Studies is structured to provide students with a strong grounding in the history, theory, and methods of the field of American Studies. At the same time, it is designed to enable students to pursue their own intellectual interests, and to craft an interdisciplinary course of study that is specifically tailored to their professional goals. A key feature of the M.A. program is a capstone M.A. thesis project, which is designed to give students the opportunity to conduct original research with the support and mentorship of CSER’s core faculty.",https://cser.columbia.edu/ma-program/ma-american-studies,,MA,Master of Arts in American Studies,"The official university website for Columbia University in the City of New York is www.columbia.edu.

This website serves as the main portal for the university, providing access to information on admissions, academics, research, campus life, and news. Prospective students can find details on undergraduate and graduate programs, while current students, faculty, and staff can access various resources and university-related information. The site also highlights Columbia's impact and its connection to New York City.",
,"The Columbia MA in Anthropology is a selective, 30-credit degree program offering students the opportunity to pursue advanced training in socio-cultural anthropology. The department has two terminal MA programs: one based on our New York campus, and a second based at our Columbia Global Center in Paris. Both programs are designed for students with diverse academic and professional backgrounds who are interested in developing their analytic and research skills in the discipline. Students can choose to pursue the degree full-time over one year (two semesters), or part-time over up to four semesters. Each year, the MA programs brings together a vibrant, international cohort of recent college graduates and mid-career professionals who bring a wide range of experiences and perspectives to the classroom. Our students and alumni work in a variety of non-profit, government, and private sector positions; and some go on to pursue a Ph.D. in anthropology or a related discipline. The MA programs provide students with a strong foundation in contemporary social and cultural theory as well as in ethnographic research methods. Our distinguished faculty work with students to develop individualized courses of study tailored to their intellectual and professional goals. Students may enroll in courses in other Columbia departments and schools, and may also take courses in other universities through the Inter-University Doctoral Consortium.",https://anthropology.columbia.edu/content/ma-program,,Master of Arts,Master of Arts in Anthropology,"The official university website for Columbia University in the City of New York is www.columbia.edu.

This website serves as the main portal for the university, providing access to information on admissions, academics, research, campus life, and news. Prospective students can find details on undergraduate and graduate programs, while current students, faculty, and staff can access various resources and university-related information. The site also highlights Columbia's impact and its connection to New York City.",
,"The M.A. Program in Anthropology and Education provides students with a strong grounding in anthropological theories and methods for the study of education in a wide range of settings. We treat education in the broadest sense, including both formal schooling and other formal and informal settings of teaching and learning, both in the United States and abroad. The program aims to serve two primary constituencies: first, those students intending to go on to Ph.D. work in anthropology or a related discipline who wish to explore the rich intersections between anthropology and education; and second, those students intending to work in schools, community organizations, non-governmental organizations, or government agencies whose work requires a sophisticated anthropological understanding of the diverse social and cultural contexts of education. The program takes a broad and comparative perspective on education, and our students engage in coursework that encompasses a wide variety of topical and regional interests. Among the key strengths of our program are: courses in the social and cultural contexts of education in urban areas; issues of race, class, and gender in schooling; language, culture, and education; and migration and education in transnational contexts.",https://www.tc.columbia.edu/arts-and-humanities/anthropology/academics/ma-in-anthropology-and-education/,,Master of Arts,Master of Arts in Anthropology and Education,"The official university website for Columbia University in the City of New York is www.columbia.edu.

This website serves as the main portal for the university, providing access to information on admissions, academics, research, campus life, and news. Prospective students can find details on undergraduate and graduate programs, while current students, faculty, and staff can access various resources and university-related information. The site also highlights Columbia's impact and its connection to New York City.",
,"The free-standing M.A. in Art History and Archaeology at Columbia is a two-year degree that combines broad exposure to the discipline with the opportunity to focus on a specific field of study. It provides rigorous training in the history and methodologies of art history and prepares students for a variety of careers in the field, including in museums, foundations, and galleries, as well as for entrance into a Ph.D. program. The curriculum consists of ten courses, including two M.A. colloquia, one on art-historical methodologies and the other on the materials and techniques of art. Students must demonstrate proficiency in at least one foreign language (two, for those who intend to apply to a Ph.D. program) and complete a qualifying paper in the spring semester of their first year. In the second year, students write and defend an M.A. thesis, an original work of scholarship based on primary research. The M.A. program is overseen by the Director of M.A. Studies. It is distinguished from the M.A. earned en route to the Ph.D. at Columbia, which is administered through the Director of Graduate Studies. M.A. students take graduate lecture courses and seminars with Ph.D. students and study with Columbia’s internationally renowned faculty.",https://arthistory.columbia.edu/content/ma-program,,Master of Arts,Master of Arts in Art History and Archaeology,"The official university website for Columbia University in the City of New York is www.columbia.edu.

This website serves as the main portal for the university, providing access to information on admissions, academics, research, campus life, and news. Prospective students can find details on undergraduate and graduate programs, while current students, faculty, and staff can access various resources and university-related information. The site also highlights Columbia's impact and its connection to New York City.",
